,projectName,searchResults
0,djsango,"16,500,000"
0,djoosh,"14,000"
0,djog,"225,000"
0,djng,"200,000"
0,djmpc,"3,990"
0,djinn,"1,370,000"
0,djegg,"212,000"
0,djblets,"4,340"
0,djbdns,"24,700"
0,djatoka,"5,150"
0,djangregator,23
0,djangospot2,17
0,djangorecipe,"552,000"
0,djangoprojectrecipe,"263,000"
0,djangoproject.com,"352,000"
0,djangopeople-jsonp,"10,500"
0,djangolicious,"12,000"
0,djangolatex,"588,000"
0,djangode,"14,700,000"
0,djangobench,"60,400"
0,django_zeep,"22,200"
0,django_usertools,"27,300,000"
0,django_templatecomponents,"3,160,000"
0,django_slideshare,"62,600"
0,django_site,"131,000,000"
0,django_imagesize,"7,710,000"
0,django_getquery,"8,580,000"
0,django_exceptional_middleware,"6,200,000"
0,django_ecomstore,"12,800"
0,django_courseaffils,26
0,django_compressor,"410,000"
0,django_cms,"864,000"
0,django_blog,"410,000"
0,django_autotest,"6,480,000"
0,django_alfajor,"12,900"
0,django_admob,"23,900"
0,djangoApplications,"81,600,000"
0,django403,"479,000"
0,django-zodb,"14,700"
0,django-yslow,"1,830,000"
0,django-xlink,"185,000"
0,django-xappy,"3,950"
0,django-wysiwyg-forms,"13,700,000"
0,django-wtform,"34,700"
0,django-workflow,"4,280,000"
0,django-wordpress-parser,"702,000"
0,django-wordpress,"6,030,000"
0,django-wiki,"279,000"
0,django-widgets,"3,640,000"
0,django-websocket,"7,660,000"
0,django-webfaction-commands,"9,850,000"
0,django-webdbc,"167,000"
0,django-wall,"1,380,000"
0,django-wakawaka,"12,800"
0,django-versions,"55,300,000"
0,django-versionedcache,"12,900"
0,django-valhalla,"21,600"
0,django-utilities,"12,800,000"
0,django-userena,"3,050"
0,django-user-silos,"23,000"
0,django-urlshortener,"60,700"
0,django-url-methods,"62,500,000"
0,django-url-imaging,"49,500,000"
0,django-upload-progress-cache-handler,"1,200,000"
0,django-unused-templates,"16,400,000"
0,django-uni-form,"233,000"
0,django-tyrant-cache,"3,650,000"
0,django-twittervoice,"482,000"
0,django-twitterauth,"2,010,000"
0,django-trusted-html,"37,600,000"
0,django-tracking,"7,650,000"
0,django-tos,"90,400"
0,django-tools,"54,300,000"
0,django-tinymce-attachment,"47,000"
0,django-tinymce,"155,000"
0,django-timezones,"734,000"
0,django-ticker,"318,000"
0,django-thumbs-sorl,"145,000"
0,django-threadedcomments,"65,300"
0,django-testmonkey,"110,000"
0,django-test-utils,"2,690,000"
0,django-test-extensions,"81,600,000"
0,django-tenderize,"153,000"
0,django-templatesadmin,"4,120,000"
0,django-template-repl,"12,100,000"
0,django-taxonomy,"31,200"
0,django-tastypie,"22,600"
0,django-tasktree,"902,000"
0,django-taskforce,"68,700"
0,django-taggit-templatetags,"63,800"
0,django-taggit,"19,700"
0,django-tagging-ext,"19,400,000"
0,django-tagging,"8,640,000"
0,django-tagcon,"1,280,000"
0,django-tabs,"12,200,000"
0,django-tables2,"13,100"
0,django-tables,"10,700,000"
0,django-syncr,"1,800,000"
0,django-swingtime,"6,520"
0,django-survey,"690,000"
0,django-support,"16,800,000"
0,django-supertagging,"17,300"
0,django-supermodels,"4,510,000"
0,django-subdomains,"156,000"
0,django-stw,"12,800"
0,django-storymarket,"412,000"
0,django-static-management,"35,000,000"
0,django-static,"5,640,000"
0,django-squeeze,"1,550,000"
0,django-sqs,"585,000"
0,django-spreedly,"10,700"
0,django-south,"28,400"
0,django-socialite,"16,600"
0,django-socialauth-old,"7,180,000"
0,django-snippetscream,"65,100"
0,django-snippets,"7,580,000"
0,django-smart-slug,"7,210,000"
0,django-smart-selects,"720,000"
0,django-sluggable,"10,600"
0,django-sitetree,"2,190"
0,django-sitemetrics,"388,000"
0,django-siteblocks,"8,160,000"
0,django-site_info,"11,900,000"
0,django-site-themes,"101,000,000"
0,django-simpleblocks,"7,030,000"
0,django-simple-friends,"56,500,000"
0,django-simple-feedback,"50,000,000"
0,django-shorturls,"171,000"
0,django-shell,"27,900,000"
0,django-sharestuff,"690,000"
0,django-settings,"2,650,000"
0,django-server-manager,"30,800,000"
0,django-seo,"727,000"
0,django-sekizai,"4,110"
0,django-section,"6,130,000"
0,django-secretballot,"2,860"
0,django-schedule,"2,530,000"
0,django-sass,"596,000"
0,django-s5,"59,600"
0,django-rpx-plus,"7,690,000"
0,django-routines,"512,000"
0,django-richcomments,"1,930,000"
0,django-reversion,"15,200"
0,django-reusableapps,"177,000"
0,django-retracer,"5,810"
0,django-rest,"1,780,000"
0,django-reportengine,"1,040,000"
0,django-relationships,"2,480,000"
0,django-reflection,"228,000"
0,django-redis-sessions,"1,150,000"
0,django-redis-monitor,"1,290,000"
0,django-recipes,"1,810,000"
0,django-recaptcha,"326,000"
0,django-ratings,"4,890,000"
0,django-rachel-old,"40,700,000"
0,django-quotes,"9,170,000"
0,django-qsstats-magic,"954,000"
0,django-qmixin,"442,000"
0,django-qmanager,"7,630,000"
0,django-publisa,"1,200,000"
0,django-proxy,"20,200,000"
0,django-project-template,"8,890,000"
0,django-profile,"6,690,000"
0,django-product-details,"2,370,000"
0,django-preview,"3,310,000"
0,django-preferences,"7,940,000"
0,django-positions,"8,950,000"
0,django-poseur,"3,920"
0,django-popularity,"7,570,000"
0,django-points,"8,380,000"
0,django-podcast,"989,000"
0,django-plugins,"21,600,000"
0,django-pluggables,"23,000"
0,django-playground,"168,000"
0,django-planet,"961,000"
0,django-piston,"38,400"
0,django-pipetter,"12,800"
0,django-pingback,"16,300"
0,django-photologue,"2,930"
0,django-photo-gallery,"1,860,000"
0,django-phased,"535,000"
0,django-paypal-appengine,"66,800"
0,django-paypal,"1,060,000"
0,django-paste,"2,120,000"
0,django-password-required,"6,570,000"
0,django-pass,"25,800,000"
0,django-paging,"3,890,000"
0,django-paginator,"614,000"
0,django-pagination,"303,000"
0,django-page-cms,"51,700,000"
0,django-orderable,"8,100"
0,django-openlike,"33,500,000"
0,django-openid-template,"12,800,000"
0,django-openid,"103,000"
0,django-ooyala,"2,910"
0,django-onec-utils,"2,800,000"
0,django-on-gae,"8,530,000"
0,django-omniauth,"12,800"
0,django-old,"7,160,000"
0,django-oembed,"14,800"
0,django-odesk,"6,510"
0,django-oauth-access,"4,990,000"
0,django-notsobasic-blog,"4,180,000"
0,django-notification,"6,290,000"
0,django-nose-selenium,"12,900,000"
0,django-nose,"182,000"
0,django-nonrel,"8,530"
0,django-newsletter,"1,520,000"
0,django-nevede,"203,000"
0,django-netmgt,47
0,django-natural-earth,"143,000"
0,django-native-tags,"1,240,000"
0,django-multitenancy,"481,000"
0,django-multimedia,"21,600,000"
0,django-multilingual-ng,"11,400"
0,django-multilingual-lite,"1,590,000"
0,django-multilingual-ds9,"176,000"
0,django-multidb-router,"1,410,000"
0,django-multidb,"1,010,000"
0,django-mptt,"16,100"
0,django-mongoforms,"92,300"
0,django-modeltranslation,"299,000"
0,django-model-utils,"570,000"
0,django-model-url,"7,520,000"
0,django-mobileadsense,"26,100"
0,django-mingus,"28,500"
0,django-middleware,"463,000"
0,django-microblogging,"11,600"
0,django-metatags,"3,340,000"
0,django-messages,"9,160,000"
0,django-menus,"8,530,000"
0,django-menu-proxy,"33,400,000"
0,django-memo,"820,000"
0,django-memcache-status,"217,000"
0,django-mediasync,"214,000"
0,django-massmedia,"76,300"
0,django-markup,"438,000"
0,django-markitup,"4,030"
0,django-markdown2,"4,400,000"
0,django-markdown-deux,"50,100"
0,django-mako,"28,000"
0,django-maintenancemode,"31,700"
0,django-mailpers,"8,610,000"
0,django-mailmonkey,"80,800"
0,django-mailinglist,"34,800,000"
0,django-mailfriend,"809,000"
0,django-mailer-2,"6,800,000"
0,django-mailer,"8,640,000"
0,django-magicforms,"714,000"
0,django-lumberjack,"23,200,000"
0,django-loki,"33,300"
0,django-locking,"25,000,000"
0,django-lockdown,"195,000"
0,django-localflavor-bd,"723,000"
0,django-localdates,"5,640,000"
0,django-linkslist,"11,700,000"
0,django-linkcheck,"23,600,000"
0,django-likes,"13,900,000"
0,django-lighty,"4,920,000"
0,django-lifestream,"1,430,000"
0,django-legacy,"849,000"
0,django-lazysignup,"3,000"
0,django-kogakure.de,"14,500,000"
0,django-jsonfield,"20,500"
0,django-json-utils,"1,410,000"
0,django-json-rpc,"616,000"
0,django-jsmin,"156,000"
0,django-jqgrid,"53,700"
0,django-jenkins,"743,000"
0,django-jabber,"61,100"
0,django-ittybitty,"52,000"
0,django-ircquotes,"13,300"
0,django-inviting,"550,000"
0,django-inotifier,"227,000"
0,django-initd,"2,680,000"
0,django-improved-inlines,"5,040,000"
0,django-importer,"12,200,000"
0,django-imaging,"6,060,000"
0,django-image-filer,"9,640,000"
0,django-ignite,"136,000"
0,django-html5,"15,900,000"
0,django-honeypot,"81,500"
