,projectName,searchResults
0,bucket_engine,"11,500,000"
0,bucket,"22,400,000"
0,buchhalter,"588,000"
0,bubbly-kid,"27,800,000"
0,bub,"7,070,000"
0,btsim,"12,300,000"
0,btps,"544,000"
0,btpd,"326,000"
0,btogre,"2,210"
0,bti,"4,570,000"
0,bsvtools,"296,000"
0,bsp-data-migration,"3,350,000"
0,bson,"1,340,000"
0,bsmfuzz,"99,500"
0,bsmSelect,"584,000"
0,bsh,"4,380,000"
0,bse,"21,100,000"
0,bsdmoted,472
0,bsdconv,"1,440"
0,bs,"58,400,000"
0,bryllup,"594,000"
0,brutegen,"898,000"
0,brunet-ipop_makeconffile,"1,760"
0,brunet,"4,540,000"
0,brukva,"3,770"
0,bruce-wayne,"176,000"
0,browsercontrol,"7,360,000"
0,browsercms,"5,070"
0,browser_gallery,"309,000"
0,browser,"41,700,000"
0,browsemytweets,"287,000"
0,broken-build-finder,"190,000,000"
0,brobot,"79,200"
0,bro-dblogger,"2,070,000"
0,brizo-older,"135,000"
0,brisket,"8,370,000"
0,brireme,"280,000"
0,brightonpy.org,520
0,brightcontent,"372,000"
0,bright,"28,400,000"
0,bridge-project,"109,000,000"
0,bridge,"38,800,000"
0,brewm,"17,600,000"
0,brewdonkey,"333,000"
0,brew-journal,"5,060,000"
0,brew,"17,400,000"
0,brevos,"12,800"
0,bresenham,"215,000"
0,breeze_blog,"10,700,000"
0,breeze,"20,800,000"
0,breathe,"14,500,000"
0,breakpad-qt,"222,000"
0,breakingwoods,"252,000"
0,breakbox2d,"16,600"
0,brb.js,"551,000"
0,brazil,"32,100,000"
0,brat_or_not,"7,290,000"
0,brasstacks,"276,000"
0,bramble,"3,010,000"
0,brainztag,"962,000"
0,braintree_dotnet,"22,700"
0,braintree_django,"16,400"
0,brains,"10,500,000"
0,brainfuck,"199,000"
0,brainfs,"10,800,000"
0,brainflow,"6,340"
0,braindump,"253,000"
0,braincrave,"1,810"
0,brainbranch-legacy,"172,000"
0,brainR,"5,080"
0,brain,"34,100,000"
0,brackup-gae-server,"221,000"
0,bpelunit,"96,600"
0,bpelscript-dltk,60
0,bp_interfacelift,"13,800"
0,bp-python,"6,920,000"
0,bp-opencontainingfolder,"1,880,000"
0,bozo-s-circus,"111,000"
0,boxoffice,"4,380,000"
0,boxlounge,"390,000"
0,boxee-vimcasts,18
0,box,"307,000,000"
0,bowline-twitter,"110,000"
0,bowline-test,"59,600"
0,bowline-desktop,"28,500"
0,boundedqueuekata,"66,000"
0,boundaries,"19,000,000"
0,bound.net,"1,160,000"
0,bound,"22,400,000"
0,bottlenose,"2,450,000"
0,bottle,"27,500,000"
0,bottalk,"5,250"
0,botstart,"37,200,000"
0,botoware,"1,410,000"
0,boto,"3,120,000"
0,botnet,"2,100,000"
0,botcha,"1,250,000"
0,bot,"45,500,000"
0,bostonrb,"17,400,000"
0,bossogg,"488,000"
0,bosa,"14,900,000"
0,bornk3d,5
0,borkd,"11,600"
0,borkbak,"782,000"
0,boris,"17,900,000"
0,borderline,"7,700,000"
0,border-image-generator,"24,000,000"
0,bootstrap,"21,700,000"
0,booto-wii,"6,190,000"
0,bootloader-hid-dcm,"478,000"
0,bootchart,"58,600"
0,boost-python-test,"9,860,000"
0,boost-python,"133,000"
0,booneweather,"7,420"
0,boomerang,"10,900,000"
0,boombot,"53,500"
0,booltable,"9,660,000"
0,boolangstudio,"1,450"
0,bookyt,"1,490,000"
0,booksku-dazzlefix,51
0,bookshelf,"13,100,000"
0,bookserver,"5,430"
0,books-macosx,"801,000"
0,bookrepotests,"594,000"
0,bookreader,"172,000"
0,bookmarks_bar_keyboard_shortcuts,"29,500,000"
0,bookmarksMenu,"8,890,000"
0,bookmarklets,"204,000"
0,bookmarklet-altchecker,"21,700"
0,bookmarklet,"3,160,000"
0,bookingCalendar,"160,000,000"
0,booking,"110,000,000"
0,bookdroid,"2,050"
0,bookclover,"135,000,000"
0,bookburro-chrome,"23,300"
0,book-generator,"24,300,000"
0,boodle-ui-qt,"7,460,000"
0,boo-lang,"1,980,000"
0,boo,"25,400,000"
0,bonsai-raytracer,"14,200"
0,bonnier-tweetindex,"20,100"
0,bonnier-scraper,"38,900"
0,bonnier-hackwall,"14,700"
0,bonnes-ondes-re2010,"422,000"
0,boni-asm,"46,100"
0,bonehead,"545,000"
0,bombs-deploy,"82,600,000"
0,bomberjs,"5,620,000"
0,bomberbot,"6,720"
0,bombastic,"1,430,000"
0,bombada,"252,000"
0,bom,"29,100,000"
0,boletin,"14,400,000"
0,bolao,"294,000"
0,bogo-pwm,"18,600"
0,bog,"16,900,000"
0,body-class-swap,"83,600,000"
0,bodhi,"3,140,000"
0,bochs,"331,000"
0,boboongae,"6,770"
0,bobo.github.com,"133,000"
0,bobo,"9,820,000"
0,bobble,"4,650,000"
0,bob_matrix,"11,400,000"
0,bob,"37,500,000"
0,boastful,"692,000"
0,boalisp,44
0,bo-theme,"476,000"
0,bnxc,"335,000"
0,bnspell,"1,290,000"
0,bndtools.runtime.junit,"653,000"
0,bndtools.runtime.eclipse,"6,110,000"
0,bndtools,"17,600"
0,bnbf,"624,000"
0,bmpgrep,"41,800"
0,bmpanel2,"2,580"
0,bmpanel,"2,860"
0,bmk,"2,320,000"
0,bmipy,"3,340"
0,bmin,"593,000"
0,bme-math-webprog,"297,000"
0,bmblog,"1,160,000"
0,bmap,"799,000"
0,bm,"138,000,000"
0,bluplate_server,"4,950,000"
0,blunderbore,"11,000"
0,bluff_it,"19,500,000"
0,bluff,"19,300,000"
0,bluerose,"1,780,000"
0,blueprints,"26,600,000"
0,blueping,"17,500,000"
0,bluelabel-jsdoc,"115,000"
0,bluechips,"1,020,000"
0,blueBunny,"12,500,000"
0,blue-ridge,"2,240,000"
0,blue-channel,"209,000,000"
0,blowfish_encryption_example,"139,000"
0,blowfish.js,"841,000"
0,blotto,"182,000"
0,bloopsaphone,608
0,bloomy,"381,000"
0,bloomnames,"23,800,000"
0,bloomfilter-rb,"120,000"
0,bloomfilter,"66,100"
0,bloom,"22,600,000"
0,bloogme,"6,330,000"
0,bloog,"202,000,000"
0,bloody-jquery-plugins,"23,400,000"
0,blogy,"366,000"
0,blogtty,"3,710,000"
0,blogtrans,"2,190"
0,blogsample,"37,100,000"
0,blogpolis_js,"41,900"
0,blogolee,332
0,blogofile.com,"6,360"
0,blogofile-sphinx,"8,160"
0,blogofile,"6,280"
0,bloggy,"208,000"
0,bloggersynk,"31,600,000"
0,blogger-tagger.mulvany.net,"13,600"
0,blogger-comment.js,"236,000,000"
0,bloggart,"290,000"
0,blogcdb,"15,800,000"
0,blogbudi,"580,000"
0,blogatron,"2,830"
0,blog.v1,"26,700,000"
0,blog.stochasticbytes.com,"29,900"
0,blog.js,"138,000,000"
0,blog-theme,"12,600,000"
0,blog-preview,"1,520,000"
0,blog,"202,000,000"
0,blockui,"84,900"
0,blocks,"46,900,000"
0,blockip,"6,020,000"
0,block,"126,000,000"
0,bloch,"4,760,000"
0,blo-gr-extension,"2,390,000"
0,blk2html,"7,870,000"
0,blist,"561,000"
0,bliss-bulletin,"604,000"
0,blipomoko,27
0,blip.pl-widget,"14,900,000"
0,blip,"2,100,000"
0,blinky,"1,000,000"
0,blindpower,"34,200,000"
0,blinddata,"4,570"
0,blickr,"20,000,000"
0,blicker,"104,000"
0,blg,"7,040,000"
0,bley,"1,010,000"
0,blenke-vosao,96
0,blender_nif_scripts,"11,800"
0,blender_nif_plugin,"16,600"
0,blender2haxe,29
0,blender-smooth-slides,"20,400,000"
0,blender-nds-exporter,"8,390,000"
0,bleeter,"5,340"
0,bleach,"17,000,000"
0,blathy,"33,700"
0,blastvisual,"7,000,000"
0,blank_page,"3,710,000"
0,blank-application,"133,000,000"
0,blank,"35,200,000"
0,blangoblog,"12,600"
0,blame-browse,"6,110,000"
0,blacklight_range_limit,"20,300,000"
0,blackjax,"10,100"
0,blackjackdrill,"239,000"
0,blackjack,"9,770,000"
0,blackhighlighter,"15,500,000"
0,blackem,"1,500,000"
0,blackbox,"29,400,000"
0,blackbirdpy,"401,000"
0,blackberry_gps,"76,400"
0,blackbd,"28,700,000"
0,bktree,"36,500,000"
0,bknr-datastore,"3,350"
0,bjorling,"163,000"
0,bjoern,"5,350,000"
0,bjne-java,"5,140,000"
0,biwascheme,"5,350"
0,bitty,"2,840,000"
0,bitten,"5,760,000"
0,bitsharp-dbus,31
0,bitserve,"2,350"
0,bitnots,"415,000"
0,bitly_unfuddle,175
0,bitly.py,"361,000"
0,bitly-api-python,"51,100"
0,bitlbee,"34,900"
0,bitify,"9,260"
0,bitcoin-git,"40,800,000"
0,bitbox,"174,000"
0,bitbath,"161,000"
0,bit-array,"254,000"
0,bistrochat,"4,570,000"
0,bisho,"521,000"
0,birem,"24,200"
0,bird-speak,"629,000"
0,bipa,"1,160,000"
0,bip,"13,300,000"
0,bioseq-hadoop,56
0,biopython-github-master,"51,900"
0,biopython,"401,000"
0,bioperl-ext,"19,000"
0,biojava,"13,800"
0,bioinformatics,"9,560,000"
0,bioift,"347,000"
0,bioe243,14
0,bioclipse.qsar,"2,700"
0,bioclipse.ds,"2,270"
0,bioclipse.chembl,749
0,bintrans,"3,090"
0,bintools,"937,000"
0,binomialProbabilities,"2,200,000"
0,binn,"1,350,000"
0,binmap,"15,500,000"
0,bingehack,"33,900,000"
0,bindle,"429,000"
0,bindir,"15,900,000"
0,bindgen,"82,400"
0,bind_config_manager,"54,900,000"
0,bind-to-tinydns,"12,900"
0,bind-dlz-on-rails,"914,000"
0,bincrowd-plugin-ida,"537,000"
0,binarytweet,"16,600,000"
0,binary_life,"15,300,000"
0,binary-reading-src,"37,900,000"
0,bin2txt,"3,300"
0,bin-scripts,"1,850,000"
0,bin,"56,400,000"
0,bime,"1,030,000"
0,bilouli,"1,500,000"
0,billtrack.org,"25,500,000"
0,billspike,"11,300,000"
0,billomite,"3,230"
0,billing-service-price-comparison,"79,500,000"
0,billiard-sim,"252,000"
0,billiard,"11,800,000"
0,billedid,"10,700,000"
0,billable-minutes,"56,100,000"
0,bill_manager,"171,000,000"
0,bill,"86,800,000"
0,bilinkfield,52
0,bilbo,"2,250,000"
0,bilateral,"10,100,000"
0,biketripblog-server,"209,000"
0,bikesy-server,"7,980,000"
0,bigtable-js,"18,400,000"
0,bigstreet,"251,000,000"
0,bigoBot,716
0,bigmuscle,"22,600,000"
0,biggie-router,"58,800"
0,bigbuttons,"21,100,000"
0,bigbro,"196,000"
0,bigbluebutton,"1,070,000"
0,big4motors,"64,200,000"
0,big-unit,"90,000,000"
0,big-streaming,"193,000,000"
0,big-help,"190,000,000"
0,big-brother-bot,"1,340,000"
0,big-brother,"13,400,000"
0,bifrost-build,"389,000"
0,bidoru,"135,000"
0,bidi,"2,240,000"
0,bic-python,"819,000"
0,bic,"18,300,000"
0,bibmix_app,"42,200"
0,biblo_jorge,"661,000"
0,biblio_ramiro,"39,000"
0,biblio,"12,900,000"
0,bibfinder,"5,010"
0,bi-platform-v2,"50,200,000"
0,bhoma,"29,800"
0,bharati_ru,"51,600"
0,bhandar,"190,000"
0,bhaa,"438,000"
0,bgviews-network-templates,"64,600,000"
0,bgs-buggies,"180,000"
0,bgrep,"4,520"
0,bgp-ranking,"213,000"
0,bgjs,"208,000"
0,bgit,"198,000"
0,bgiframe,"9,750"
0,bg_3d,"14,600,000"
0,bfvm,"453,000"
0,bfscript,"290,000"
0,bfirc,"422,000"
0,bfbc2Redirect,"19,000"
0,bf0x,"5,540"
0,bf,"830,000,000"
0,bezier-clipping,"545,000"
0,bew,"10,400,000"
0,bettr,"1,090,000"
0,betterufck,"8,270,000"
0,bettermxrmail,4
0,better-status-bar,"42,600,000"
0,better-edit-in-place,"163,000,000"
0,betascape,"2,540"
0,bestpractice,"11,900,000"
0,best2,"777,000,000"
0,bespresso,"13,900,000"
0,bespin_syntaxes,"6,350"
0,bespin_composite_filesource,"13,700"
0,bespin-vim,"11,800"
0,bespin-twilight,"19,200"
0,bespin-presentation,"57,700"
0,bespin-markdown,"3,170"
0,bespin-embedded,"44,300"
0,bespin-basic,"133,000"
0,bespin,"353,000"
0,bertrand,"9,840,000"
0,berto-s-dimensional-wars,"3,710,000"
0,berryphillips,"8,420,000"
0,berry,"26,800,000"
0,berklee_mp3_app,"67,500,000"
0,berkelium,"652,000"
0,berjubel,"15,600"
0,bergamot,"6,630,000"
0,benzin,"4,270,000"
0,bento,"11,900,000"
0,bendyworks.github.com,"3,690"
0,benchmarks,"10,500,000"
0,benchmarker,"104,000"
0,bench,"23,800,000"
0,benadida.github.com,"2,680"
0,bemu,"278,000"
0,beltwars,"21,800,000"
0,bells_and_whistles_demo,"1,030,000"
0,bell_d_project,"220,000,000"
0,beitmemcached,"2,900"
0,beijing_air,"151,000"
0,behemoth,"2,680,000"
0,behaviorism,"1,650,000"
0,behavior,"29,400,000"
0,begin.js,"19,000,000"
0,befungeec,"30,300"
0,beezwax,"2,820,000"
0,beethoven,"11,300,000"
0,beet,"10,100,000"
0,beeswithmachineguns,"32,700"
0,beeroverip,"119,000"
0,beermaker-archive,"878,000"
0,beereader,"5,820"
0,beep,"8,990,000"
0,beehive,"6,560,000"
0,beef-taco,"287,000"
0,beedraw,"20,100,000"
0,beechat,"22,000"
0,bedtime-programming,"4,240,000"
0,bedroom-server,"93,900"
0,bedlam-siscweb,"13,900"
0,beclab,"558,000"
0,bebop,"3,710,000"
0,bebitly,"18,200,000"
0,beautylib,"525,000"
0,beautifulcleaner,"3,930,000"
0,beat_in,"32,100,000"
0,beastie,"2,010,000"
0,beastPlugin,"48,000,000"
0,beast,"25,200,000"
0,beardygeek-website,"7,730,000"
0,beanstalkw,"4,250,000"
0,beanstalkd,"48,400"
0,beanstalkc,"4,240,000"
0,beanstalk-client-ruby,"13,700,000"
0,beanfs,"23,000,000"
0,bean-loader,"1,410,000"
0,beam-meris-qaa,"89,500"
0,beam-meris-glint,"123,000"
0,beam-meris-aatsr-flint,"12,000"
0,beaker_extensions,"353,000"
0,beaker,"4,650,000"
0,beaglebot,"3,400"
0,beagleboard-uboot-logo,"234,000"
0,beadmin,"13,800"
0,beacon,"23,600,000"
0,beachball,"2,060,000"
0,bdog-haxe,"225,000,000"
0,bdec,"826,000"
0,bdd_seurrat,"13,200"
0,bdb,"11,000,000"
0,bdash,"52,700"
0,bcrypt-ruby,"69,000"
0,bcollect,"30,700,000"
0,bcmsmockup,"4,720"
0,bcms_template,"41,200"
0,bcms_section_properties,"61,200,000"
0,bcms_news,"62,100"
0,bcms_lb_photo_gallery,"19,300,000"
0,bcms_headers,"51,300"
0,bcms_fckeditor,47
0,bcms_blog,"80,800"
0,bcdmud,"15,600"
0,bcbb,"999,000"
0,bca-util,"404,000"
0,bbwfNav,17
0,bbreport,"2,160,000"
0,bbq-compress,"3,890,000"
0,bbq,"30,000,000"
0,bblue_crm,"21,000,000"
0,bbjs,"15,000,000"
0,bbfreeze,"3,730"
0,bbdocs,"8,030"
0,bbdiese,"1,940,000"
0,bbcprogrammes_iphone_webapp,"516,000"
0,bbc_jquery,"180,000"
0,bbbin,"2,690,000"
0,bbb,"25,100,000"
0,bb2wiki,"104,000"
0,bb-historical,"104,000,000"
0,bb,"934,000,000"
0,bazylum,59
0,bazaar,"23,800,000"
0,bayxp,"180,000"
0,bayespf,"1,140,000"
0,bayer2rgb,"4,880"
0,baws,"388,000"
0,bavc-final-project,"60,200,000"
0,bauhouse.github.com,"16,600"
0,battlesim,"1,500,000"
0,battleship,"7,850,000"
0,battlecodesid,"205,000"
0,battlecode2009-hax,27
0,battlecode,"20,500"
0,battery-dyno,"3,300,000"
0,battallica,"27,100"
0,battalbol,"8,100"
0,batchfb,"26,200,000"
0,batch2bash,"5,890,000"
0,batch-extractor,"16,500,000"
0,bastos85,"379,000"
0,bassyn,"5,260,000"
0,bass_tak2.4,"9,590,000"
0,basket-lib,"413,000"
0,basket,"29,700,000"
0,basicmon,"245,000"
0,basicblackjack,"1,070,000"
0,basic_rails_test_app_two,"83,200,000"
0,basic_rails_test_app_one,"94,200,000"
0,basic_importer,"6,120,000"
0,bash_autojump,"1,110,000"
0,bash-tutor,"50,900,000"
0,basezf,"9,070,000"
0,basetram,"19,200,000"
0,baseten,"1,780,000"
0,baseruby,"16,300,000"
0,basement,"16,600,000"
0,based,"97,500,000"
0,basecontribution,"6,080,000"
0,basecase.github.com,"17,700,000"
0,basecampjs,"8,590,000"
0,baseapp23,44
0,baseapp,"28,400"
0,base64url,"108,000"
0,base,"104,000,000"
0,bartETA,"7,590,000"
0,bart,"16,700,000"
0,barry-usbrelay,"226,000"
0,barrioSquare,"598,000"
0,barrbrain.github.com,"84,800"
0,barquin-orgs-demo,"216,000"
0,barqode,"18,700,000"
0,barnowl,"1,220,000"
0,barnacle,"1,640,000"
0,barewm,"680,000"
0,barcodemodule,"5,130,000"
0,barcelonapm.github.io,"132,000"
0,barbieQ,"6,450"
0,barbershop,"9,700,000"
0,barber,"22,500,000"
0,bantlr,"75,700"
0,bankofbs,"32,500,000"
0,banklet,"20,300,000"
0,bankjob_and_associates,"127,000"
0,banker-s,"455,000,000"
0,bankbuddy,"21,500,000"
0,bangpoundthemer,10
0,bang-2009-eoh-project,"2,580,000"
0,bandsaw,"2,590,000"
0,bandleader,"667,000"
0,bandgenerator,"5,630"
0,bamtools,"15,600"
0,balmysundaycandy,"16,100"
0,baldea,"29,700"
0,balcms,442
0,baking,"22,100,000"
0,bakery,"30,900,000"
0,bake,"23,000,000"
0,bajar-de-peso,"591,000"
0,bag,"37,100,000"
0,badger-article,"5,440,000"
0,badger,"14,700,000"
0,badgelona,"32,200,000"
0,badboy.github.com,"245,000"
0,bad-love,"73,400"
0,bad-idea,"906,000"
0,bact,"1,400,000"
0,baconl,"22,300,000"
0,baconfile-python,"420,000"
0,bacon-trail,"7,330,000"
0,backwater,"1,600,000"
0,backupmail-rails,"11,300,000"
0,backup_my_mail,"5,380,000"
0,backup,"29,000,000"
0,backstage,"12,200,000"
0,backsoon_watcher,"22,800,000"
0,backoffice1,"8,300,000"
0,backend_common,"2,470,000"
0,backdraft,"846,000"
0,back,"414,000,000"
0,babytux,"23,500,000"
0,babysitter,"9,150,000"
0,babukuma,"984,000"
0,babilu,"18,400"
0,babelbird,"458,000"
0,babble,"2,470,000"
0,baba-gallery,"1,790,000"
0,baas-bm,"997,000"
0,baas,"3,840,000"
0,ba-arbeit,"1,490,000"
0,b9j,"83,000"
0,b2rex,"1,700,000"
0,b2bua,"29,200"
0,b00tii,56
0,b.r-l.o,"228,000,000"
0,b-opcheck,"2,590,000"
0,azmt,"164,000"
0,azkaban,"1,990,000"
0,azimuth,"2,680,000"
0,azazel,"647,000"
0,azaka,"58,900"
0,ayce1,"902,000"
0,ayce-gateway,"260,000"
0,axiom,"7,750,000"
0,ax-vm,"4,050,000"
0,awspider,"2,310,000"
0,awsom,"202,000"
0,awsninja_simpledbadmin,65
0,awsdemo,"18,300,000"
0,aws_dot_tools,"21,900,000"
0,aws_console_metadata,"26,400,000"
0,aws-sdk-for-java,"11,900,000"
0,awmenu,"22,600,000"
0,awlwidget,"53,000"
0,awestats,"212,000"
0,awesome,"29,300,000"
0,awedio,"24,200"
0,awd-rails-4th-depot-app,"13,500,000"
0,awayfromflash.com,"825,000"
0,awake,"10,800,000"
0,avvote,"36,400,000"
0,avrocompiler,"54,500"
0,avro-rpc-on-netty,"450,000"
0,avro-debug,"174,000"
0,avro,"5,480,000"
0,avrdude,"195,000"
0,avr-vs1002,"111,000"
0,avr-tv-tuner,"15,000,000"
0,avr-scout-kenwood,"689,000"
0,avr-rfm12,"10,000"
