,projectName,searchResults
0,py-xlsx,"7,180,000"
0,py-wikimarkup,"236,000"
0,py-videodownloader,"19,200,000"
0,py-urbandict,"29,800"
0,py-tsdisc,"33,000,000"
0,py-tokyodystopia,"6,830"
0,py-toc,"38,900,000"
0,py-smsgv,"307,000"
0,py-shelf,"2,820,000"
0,py-retrosheet,"41,600"
0,py-osx-alarm,"208,000"
0,py-monogram,"2,390,000"
0,py-languess,"80,900,000"
0,py-keyring-lib,"55,900,000"
0,py-js,"87,400,000"
0,py-irc-client,"47,800,000"
0,py-invars,"9,550,000"
0,py-interactive-genetic-algorithm,"399,000"
0,py-highrise,"584,000"
0,py-gtranslate,"38,700,000"
0,py-github,"54,000,000"
0,py-gameday,"996,000"
0,py-fsmon,"38,600,000"
0,py-extn-shared,"50,300,000"
0,py-decision-tree,"7,100,000"
0,py-dbscan,"356,000"
0,py-cyclone,"1,300,000"
0,py-cmbfast,"3,740"
0,py-cleancss,"540,000"
0,py-backpack,"31,300,000"
0,py-amqplib-wrapper,"7,670,000"
0,py-amqplib,"30,400"
0,pxz,"1,030,000"
0,pxf-gamejam,"18,400,000"
0,pwman3,"1,680"
0,pwm,"10,100,000"
0,pwlet,"1,030,000"
0,pwdhash.py,"5,380"
0,pwatchdog,"9,500,000"
0,pward,"10,300,000"
0,pw9-darkpastel,"10,500"
0,pw8-lawnorder,"26,200"
0,pw5-murmel,18
0,pw10-wabble,"31,800"
0,pvr,"6,740,000"
0,pvo,"4,270,000"
0,pv,"45,500,000"
0,puzzle,"32,500,000"
0,puzpy,"25,400,000"
0,puuro,"42,500"
0,putty,"13,700,000"
0,putifboard,25
0,pushy,"1,710,000"
0,pushpublic,"1,110,000"
0,pusher_chat,"548,000"
0,pusher_app_example,"114,000,000"
0,pusher-cta,"50,000"
0,push_chat,"242,000"
0,pushTest,"4,230"
0,push.py,"581,000"
0,purplebridge,"171,000"
0,purple_ruby,"153,000"
0,purple-bitly,"20,000"
0,purl,"3,560,000"
0,puretouch,"279,000"
0,pure,"39,200,000"
0,purdue-kiosk,"21,800"
0,puppy,"25,100,000"
0,puppetshow,"31,800"
0,puppetlabs-bootstrap,"27,000"
0,puppet-old,"12,000,000"
0,puppet-docs,"2,560,000"
0,puppet-dashboard,"732,000"
0,puppet,"11,000,000"
0,pune-rails-meetup-rack,"125,000"
0,punchy,"1,530,000"
0,punchit,"8,100"
0,pumc,"453,000"
0,puma,"20,600,000"
0,pulse,"25,700,000"
0,pullite,"76,800"
0,puller,"6,990,000"
0,pulito,"437,000"
0,pug,"12,100,000"
0,puffpuff,"16,500,000"
0,puffin,"7,030,000"
0,pudgies,"44,200"
0,pucmcawesome,24
0,pubsubclient,"47,300"
0,pubpresence,"14,300,000"
0,pubnub-api,"83,700"
0,pubmex,"18,100,000"
0,pubmedpy,"18,200,000"
0,pubmedos-gae,"1,700,000"
0,pubmed,"18,100,000"
0,publookup,"21,000,000"
0,publishfiltering,"360,000"
0,publish-layar,"171,000"
0,publify,"8,150"
0,public_python_functions,"81,700,000"
0,public-dotfiles,"509,000"
0,puavo-web,"563,000"
0,ptracer,"8,990"
0,ptpd,"205,000"
0,ptlsim,"3,220"
0,ptime,"11,500,000"
0,pthreads-win,"130,000"
0,ptemplate,"1,140,000,000"
0,pt_deny_attach,"291,000"
0,pt-worldcat,"839,000"
0,pszczolki,"130,000"
0,psycho,"15,500,000"
0,psxml,"10,700,000"
0,psx-gs,"2,830,000"
0,psusres,"10,800,000"
0,psubprocess,"2,220,000"
0,pstsdk,"669,000"
0,pstore,"702,000,000"
0,psrfits_utils,"7,630"
0,psrfits2psrfits,56
0,pspec,"33,300"
0,psotnic-ng,81
0,psms,"762,000"
0,psm,"8,380,000"
0,psirp-cc2010,55
0,psionrl,"627,000"
0,psid,"1,940,000"
0,psick,"10,200"
0,psi-soc2010,"252,000"
0,psi,"21,000,000"
0,pseuwow,541
0,pseudoccompilercollection,"669,000"
0,pseudo_generator,"7,860,000"
0,pseudo,"10,900,000"
0,pserver,"212,000"
0,psdump,"6,430"
0,psdtext,"10,500,000"
0,psdloader,"259,000"
0,pscroll,"27,800,000"
0,ps3enc,"70,100"
0,ps3cake,"1,240,000"
0,ps3bdremote,"656,000"
0,ps1-inventory,"145,000"
0,ps-etc,"196,000"
0,ps,"112,000,000"
0,prych,"4,380"
0,pruning_phrase_table,"81,700,000"
0,prudge,"13,400,000"
0,prozilla,"7,990"
0,proyecto4,"29,000,000"
0,proyecto2Prerequisitos,32
0,proyecto2,"15,100"
0,proyecto1Digraph,"4,690"
0,proyecto0,"29,200,000"
0,proxytweet,"1,170,000"
0,proxylet,"2,910"
0,proxybotlib,26
0,proxy-proxy,"25,200,000"
0,proxos,"6,080"
0,proximobus,"5,400,000"
0,proximo-web,"21,600,000"
0,proximity_scripts,"15,500,000"
0,proximity,"9,900,000"
0,prox,"6,470,000"
0,prowlpy,"1,770"
0,prowl-jabberbots,"5,230"
0,prowl,"1,790,000"
0,prowebscape-calendar,54
0,provisioning_phase2,"421,000"
0,provide-html5,"22,100,000"
0,prototypeui,"10,900,000"
0,prototypegrowl,"1,350,000"
0,prototype_notifier,"1,270,000"
0,prototype_humanized_messages,"7,630,000"
0,prototype_filtered_table,"52,100,000"
0,prototype-upload-progress,"29,000,000"
0,prototype-ujs,"5,280,000"
0,prototype-playground,"1,510,000"
0,prototype-objects,"9,340,000"
0,prototype-multi-select,"70,300,000"
0,prototype-asp,"2,630,000"
0,prototype,"23,600,000"
0,protototo,"6,490"
0,protosome,"69,400"
0,protorpcpp,52
0,protoplus,"2,820,000"
0,protopass,"135,000"
0,protolicious,"64,600"
0,protojs,"6,230,000"
0,protoio,"244,000"
0,protofx,"702,000"
0,protocrypt,"2,500"
0,protocol-bridge-claims-provider,"32,400,000"
0,protoc-gen-php,"63,000"
0,protobuf-socket-rpc,"1,120,000"
0,protobot,"13,000"
0,protobench,"3,140"
0,proto.js,"9,270,000"
0,proto,"17,400,000"
0,proteus-cpi,"45,100"
0,prosper202,"5,810"
0,proquint,"10,400"
0,proportion-widget,"1,700,000"
0,property-management,"23,600,000"
0,properator,"6,100,000"
0,proper-editing,"117,000,000"
0,promwiki,"8,870,000"
0,promotego-org,"3,290,000"
0,promises,"12,900,000"
0,promised-io,"9,920,000"
0,prometheusapp,"3,860,000"
0,promdilps,654
0,proman,"624,000"
0,projetofinal-roteiros,"153,000"
0,projetoanime,"460,000"
0,projekt-ps,"1,460,000"
0,projekt-ofen,"2,210,000"
0,projekt,"18,300,000"
0,projectwiki,"153,000,000"
0,projectstalker,"2,880,000"
0,projects,"45,000,000"
0,projectmusic,"26,700,000"
0,projecteuler_solutions,"186,000"
0,projecteuler.net,"48,000"
0,projecteuler,"437,000"
0,project_euler,"175,000"
0,project_application_tool,"280,000,000"
0,projectA,"690,000"
0,project-euler-workspace,"373,000"
0,project-euler-solutions-,"385,000"
0,project-euler-python,"214,000"
0,project-euler-code,"262,000"
0,project-euler,"175,000"
0,project-badge,"4,170,000"
0,project-3,"263,000,000"
0,project-2,"283,000,000"
0,project-1,"1,450,000"
0,project,"356,000,000"
0,proj4rb19,57
0,progressbar,"1,900,000"
0,progressMeter,"121,000"
0,progress,"33,000,000"
0,programming-puzzles,"544,000"
0,programming-problems,"8,020,000"
0,programble-utils,"649,000"
0,program-visualizer,"15,500,000"
0,progit,"1,070,000"
0,prog8051,"62,900"
0,proftpd-mod_time_directive,"10,100,000"
0,proftpd-mod_limit_login_post_pass,"48,300,000"
0,proftpd-mod_libmemcached_deny_blacklist,"6,350"
0,proftpd-mod_libmemcached_deny,"13,400"
0,proftpd-mod_dynamic_include,"6,250,000"
0,profile,"358,000,000"
0,prof_iep,"1,800,000"
0,prodmonitor,"9,490,000"
0,prodecjs,"45,100,000"
0,prode,"1,270,000"
0,procyon_avrlib,"1,800"
0,procsstechniques,"22,800,000"
0,procname,"67,000"
0,proclaim,"3,070,000"
0,processviz,"1,760"
0,processing.org,"14,600,000"
0,processing.js,"191,000"
0,processing-korg-microkontrol,"367,000"
0,processing-js-particle-transitions,"5,680,000"
0,processing-js,"194,000"
0,processing-experiments,"3,230,000"
0,processfeed,"869,000"
0,process-viewer,"261,000"
0,process-pst,"11,200,000"
0,procan,"42,500"
0,problem-solving,"16,400,000"
0,problem,"67,400,000"
0,privvy,"33,200"
0,privbind,"2,620,000"
0,privatebin,"26,800"
0,privateAPP,"210,000,000"
0,private,"120,000,000"
0,pristine-tar,"218,000"
0,prism-samples,"11,500,000"
0,printdots,"13,300,000"
0,printable,"67,200,000"
0,princeton-class-site,"118,000,000"
0,prince-mishra.github.com,"3,560,000"
0,primes,"5,670,000"
0,primerscript,"245,000"
0,primer,"35,700,000"
0,primenumbers,"112,000,000"
0,prime_sieves,"586,000"
0,prime-sieve-cs,"32,100,000"
0,prime-poly-gp,"32,700,000"
0,prezto,"20,800"
0,prey-bash-client,"44,000,000"
0,prey,"10,800,000"
0,prex,"1,070,000"
0,prevayler,"5,740"
0,prettysyntax,"32,400,000"
0,prettyprint.js,"3,480,000"
0,pretty_timedelta,"63,600"
0,prettySearch.js,"2,220,000"
0,prettyPrint.js,"3,480,000"
0,prettyCheckboxes,"247,000"
0,pretendresume,"3,330,000"
0,presupuestando,"19,900"
0,prestool,"21,700,000"
0,presto,"10,500,000"
0,press,"143,000,000"
0,presquir,"7,740,000"
0,preso_code,"480,000"
0,preso-roro-rack-bundle,"33,100"
0,presenting,"13,100,000"
0,presentations-and-training,"26,500,000"
0,presentations,"19,300,000"
0,presentation-projects,"131,000,000"
0,presentation-node-js,"7,520,000"
0,presentation-model,"27,700,000"
0,present.js,"316,000"
0,present-future-of-oauth,"42,900,000"
0,prep,"30,000,000"
0,prenestr,"3,280"
0,premailer,"8,200"
0,prelieff,"17,000"
0,preg_replace---preg_replace_callback-in-javascript,"1,830,000"
0,prefix,"17,800,000"
0,preferences_example,"791,000"
0,preetika_dashboard,"23,700"
0,predabot,"2,820"
0,pre3d,"8,450,000"
0,prcleanup,"1,810,000"
0,prayls,"15,700,000"
0,pravaasredirect,13
0,praudit,"6,730"
0,praized-api-url-checker-js,"88,700,000"
0,prads,"13,700,000"
0,practice-makes-perfect,"214,000"
0,practice,"223,000,000"
0,pr,"155,000,000"
0,pquery,"134,000"
0,pq-trees,"4,570,000"
0,ppt,"342,000,000"
0,pps-tools,"75,200,000"
0,pps,"20,500,000"
0,ppp_echo_mon,"17,100,000"
0,ppodget,"141,000"
0,ppodder,"701,000"
0,ppk,"5,330,000"
0,ppcheck,"5,880"
0,pp-eclipse,"19,300,000"
0,powermate,"910,000"
0,powerdns-on-rails,"14,700"
0,poweradminbfbc2,"2,750"
0,power,"487,000,000"
0,poutine,"4,110,000"
0,pots,"17,600,000"
0,potlatchblog,"243,000"
0,potion,"9,560,000"
0,posupdater,"31,600,000"
0,posulliv.github.com,"2,090"
0,posty,"2,620,000"
0,postr,"22,300,000"
0,postpie,"1,280,000"
0,postosaurus-old,"3,320"
0,postmessage,"4,930,000"
0,postgres-js,"19,300,000"
0,postgres,"8,320,000"
0,postgis_manager,"348,000"
0,postcards,"9,760,000"
0,postbin,"9,270,000"
0,postal,"30,400,000"
0,post_receive_email.py,"63,200,000"
0,post-cpp,"25,900,000"
0,possibilistic.org,"51,800"
0,positive_id,"15,700,000"
0,poshzone,"1,660"
0,portreader,"444,000"
0,portmidi-sharp,"1,640"
0,portland-international-beerfest,"63,600"
0,portland,"31,200,000"
0,portfolio,"50,200,000"
0,portato,"1,290,000"
0,portaln-andrea,"27,800,000"
0,portal,"4,170,000,000"
0,portage-funtoo,"11,600"
0,portable-environment,"243,000"
0,port-clojure,"227,000"
0,porquecomputacao,"314,000"
0,pork-chops,"10,800,000"
0,pork,"23,100,000"
0,porextenso,"347,000"
0,porcupine-legacy,"169,000"
