,projectName,searchResults
0,greennet,"89,400"
0,greenbean.me,"29,000,000"
0,green-tomato,"493,000"
0,green,"148,000,000"
0,greeker,"6,300"
0,greek_architect,"435,000"
0,greek-new-testament,"96,400"
0,greebo,"43,000"
0,greatape,"343,000"
0,greasemonkies,"2,610,000"
0,greasemonkey_scripts,"802,000"
0,greasemonkey-scripts,"802,000"
0,greasemonkey,"850,000"
0,greasekit-scripts,"43,500"
0,greader-sbm,"200,000"
0,greader-saver,"1,140,000"
0,grbl,"1,320,000"
0,graylog2-server,"47,000"
0,graychild.github.com,"422,000"
0,gravity,"23,700,000"
0,graveyard,"8,400,000"
0,gravatar,"2,540,000"
0,grauniady,"52,000"
0,grass,"25,700,000"
0,grasp-crew-scheduling,"206,000"
0,grappler,"1,890,000"
0,grapnel,"136,000"
0,graphviz,"1,650,000"
0,graphstudio,"17,800"
0,graphserver,"30,600,000"
0,graphs.py,"33,200,000"
0,graphquire,"11,400,000"
0,graphollock,50
0,graphmecode,"215,000"
0,graphite-rabbitmq,"26,400"
0,graphics-fun,"434,000"
0,graphics,"31,300,000"
0,graph.tk,"2,750,000"
0,granola,"7,210,000"
0,grand-rapids-wifi,"9,550,000"
0,grailspodcast,"452,000"
0,grails-testing-tests,"398,000,000"
0,grails-spring-security-ui,"64,600"
0,grails-spring-security-ldap,"19,700"
0,grails-spring-security-core,"44,700"
0,grails-spring-security-cas,"106,000"
0,grails-spring-security-acl,"67,000"
0,grails-skin-loader,"5,760,000"
0,grails-session-per-conversation,"5,520,000"
0,grails-quartz,"23,400"
0,grails-one-to-many,"441,000"
0,grails-messages-db-plugin,"18,400,000"
0,grails-jqgrid,"24,200"
0,grails-jaxrs,"17,200"
0,grails-gwt,"155,000"
0,grails-freemarker,"18,000"
0,grails-core,"309,000"
0,grails,"1,650,000"
0,grafo,"1,370,000"
0,grafico,"19,000,000"
0,graffiti,"12,600,000"
0,gradleplugins,"5,440,000"
0,gradle-maven-ant-test,"3,240,000"
0,gradle-idea-plugin,"1,450,000"
0,gradius,"312,000"
0,grad-deg-converter,"24,700,000"
0,gracefultavi,"12,600"
0,grace,"35,100,000"
0,grabmem,"5,280,000"
0,grab_gamefaqs,"2,690,000"
0,graas,"25,800,000"
0,graal-gonstruct,"16,800"
0,gqsync,"1,720,000"
0,gpycomplete,"21,400,000"
