,projectName,searchResults
0,POPT,"643,000"
0,PNG2CSS,"22,100,000"
0,PN,"30,200,000"
0,PMUT,"260,000"
0,PMS,"14,700,000"
0,PMOG-OS,"14,200,000"
0,PMOG-FF-EXT-OS,"5,300,000"
0,PLS2M3U,19
0,PL-php,"22,900,000"
0,PJD,"5,230,000"
0,PICSONG,"13,600"  
0,PIC-modbus,"241,000"
0,PIC-SPI,"3,440,000"
0,PIC,"46,600,000"
0,PHP_CodeBrowser,"954,000"
0,PHPUnit-Test-Report,"468,000"
0,PHPTextCat,"3,000"
0,PHP-XSL-Framework,"36,500,000"
0,PGTop,"67,800,000"
0,PGStore,"4,360,000"
0,PFits,"4,280"
0,PETS-source,"20,000,000"
0,PDU,"5,560,000"
0,PDQt,"286,000"
0,PD-externals,"352,000"
0,PCRERegex,"450,000"
0,PCLSP,"883,000"
0,PBS-KIDS-Bridge,"535,000"
0,PBS-JS,"9,480,000"
0,PAR-development,"514,000"
0,PAM_VIP,"4,230,000"
0,PACHA,"1,850,000"
0,P36,"1,230,000"
0,P31UnityAddOns,369
0,Oyun-APyGM,"2,280"
0,Oya,"3,990,000"
0,Ovi,"6,960,000"
0,Overhearer,"3,720"
0,Overalls,"7,490,000"
0,OverTask,"6,900"
0,Outlook-Monitor,"372,000"
0,OutlineViewFromCibBroken,"24,300"
0,Otro-Bache,"280,000"
0,OthelloAI,"293,000"
0,Othello,"5,730,000"
0,OrionNodeRiak,47
0,Orion,"20,800,000"
0,Organizr,"42,600,000"
0,Orev,"269,000"
0,Ords,"6,040,000"
0,Orchestrata,"1,870,000"
0,Orchestra-register,"9,320,000"
0,Orbis-Old,"598,000"
0,Optimised_MPC_constraints__Code,"216,000"
0,Opticrop,"3,700"
0,Opticks-SAR,"760,000"
0,Opt-6.com,"34,100,000"
0,OppaiExtension,"19,600"
0,Opipop,"11,600"
0,OperacionesMatrices,290
0,Opera-AJAX-Test,"6,860,000"
0,Opensource-SL-Viewer,"304,000"
0,Openpublish,"708,000"
0,OpenVPN-LDAP-Integration,"23,100,000"
0,OpenVPN-GUI,"2,370,000"
0,OpenVBX-Plugin-Subscriptions,"31,400,000"
0,OpenVBX-Plugin-Split,"15,000,000"
0,OpenVBX-Plugin-Polls,"4,390,000"
0,OpenVBX-Plugin-Outbound,"671,000"
0,OpenVBX-Plugin-Match,"21,800,000"
0,OpenVBX-Plugin-Cookies,"34,200,000"
0,OpenVBX,"4,310"
0,OpenSceneGraph-Data,"223,000"
0,OpenSSH-LINEMODE,"13,400,000"
