,projectName,searchResults
0,create.clj,"594,000"
0,crealis,"23,400"
0,crcpp,"7,680"
0,crc,"19,100,000"
0,crazy,"40,200,000"
0,crawler,"121,000,000"
0,crawl,"10,300,000"
0,craw_module,"6,450,000"
0,crater-practice,"732,000"
0,cratchit,"157,000"
0,crapvine-online,"14,100,000"
0,crapvine,"18,100"
0,crapography,"7,070,000"
0,crap,"10,600,000"
0,crantastic,"9,330"
0,crajep971,22
0,craigsuck,"66,200"
0,craigsnipe,"2,490,000"
0,craft,"36,900,000"
0,cradle,"12,300,000"
0,crabgrass,"1,130,000"
0,cqdump,"145,000"
0,cq,"22,700,000"
0,cpulsepulse,"24,300,000"
0,cpulse,"3,980,000"
0,cprog09-lab3,63
0,cprog-game,"9,830"
0,cppwrr,"440,000"
0,cppverify,"6,900,000"
0,cppstack,"8,270,000"
0,cppray,306
0,cpppeg,"27,100,000"
0,cppman,"2,790"
0,cpplib,"5,780,000"
0,cppfl,"3,560,000"
0,cppdepends,"16,400"
0,cppdep,"2,440"
0,cppcollada,"13,200"
0,cppcheck,"124,000"
0,cppbash,"2,800,000"
0,cpp_study,"6,850,000"
0,cpp_primitives_benchmark,"11,300,000"
0,cpp-optparse,"25,600"
0,cpp-netlib,"37,300"
0,cpp-exercises,"4,030,000"
0,cpp-3col2,61
0,cpp-3col,"618,000"
0,cpoMMo,"145,000,000"
0,cpnunf-cpp,"13,000"
0,cpm,"36,100,000"
0,cplusplus-api,"1,220,000"
0,cplay_scrobbler,"11,000,000"
0,cpfcnpj,"9,500,000"
0,cpe314,843
0,cpcheat,"46,200,000"
0,cparser,"9,170"
0,coxlab_mwcore_plugins,"323,000"
0,cower.renderbuffer,"3,300"
0,cow-blog,"18,400,000"
0,coviz,"12,400"
0,covering-arrays,"13,200,000"
0,coverage-reporter,"22,300,000"
0,coursefeedback,"27,000,000"
0,coursecrawler,"4,710,000"
0,course_manager,"280,000,000"
0,course-cc,"151,000,000"
0,course-archive,"2,830,000"
0,countrycodes,"223,000,000"
0,countershape,"259,000"
0,counterpoint,"2,030,000"
0,counter,"32,800,000"
0,countdown,"21,800,000"
0,couchrails,"1,270,000"
0,couchpotato,"96,400"
0,couchmodel,"26,800,000"
0,couchish,"7,640,000"
0,couchfun,"17,600,000"
0,couchdesign,"21,300,000"
0,couchdbkit-tools,"1,520"
0,couchdbkit,"2,500"
0,couchdb_old,"160,000"
0,couchdb-xd,"48,400"
0,couchdb-wxpython,"377,000"
0,couchdb-twitter-client,"103,000,000"
0,couchdb-stats,"161,000"
0,couchdb-session,"188,000"
0,couchdb-python,"557,000"
0,couchdb-old,"159,000"
0,couchdb-lucene,"153,000"
0,couchdb-data-importer,"61,400,000"
0,couchdb-contact-form,"115,000,000"
0,couchdb-commonjs,"17,200"
0,couchdb,"907,000"
0,couchapp_io,"2,210"
0,couchapp,"7,870"
0,couch_v8,"1,400,000"
0,couch_talk,"10,100,000"
0,couch_potato,"153,000"
0,couch.js,"10,400,000"
0,cotta,"5,640,000"
0,cothink-eventboard,978
0,cotc,"2,270,000"
0,cotacaobovespa,"129,000"
0,cota_db,"376,000"
0,cosmo,"13,600,000"
0,cosmicvent,"4,150"
0,cosmic-js,"8,570,000"
0,cosmi,"587,000"
0,cosign-ossxp-hacks,"84,100"
0,coryschires-blog,"1,330"
0,corvogame,"291,000"
0,cortexdump,"465,000"
0,cortex-reaver,"539,000"
0,corsair,"14,800,000"
0,cors,"10,100,000"
0,correlation_mr,"16,700,000"
0,correlate_opencl,"1,670,000"
0,correios-macosx-widget,"22,100"
0,corpus_or,"22,900,000"
0,coroutines,"949,000"
0,cornerz,"9,300"
0,corner,"31,500,000"
0,corn,"26,400,000"
0,corkscrew,"2,800,000"
0,corinna,"3,930,000"
0,coretools,"30,400,000"
0,corejs,"37,800"
0,coreit,"34,600"
0,coreboot,"170,000"
0,core_collapse,"43,300,000"
0,core-tooling,"21,700,000"
0,core-service,"146,000,000"
0,core-plot,"360,000"
0,core-modules-wiki,"83,900,000"
0,core-modules-forum,"71,400,000"
0,core-modules-docgen,"43,000,000"
0,core-modules-djang10,"43,100,000"
0,core-modules-blog,"69,500,000"
0,core-modules-admin,"90,700,000"
0,core,"84,600,000"
0,corba,"1,820,000"
0,coral,"27,300,000"
0,coq,"7,110,000"
0,copytter,"109,000,000"
0,copypathname,"1,000,000"
0,copypasta-manager,"19,000,000"
0,copying_gc,"278,000"
0,copyevents,"21,600,000"
0,copycat,"8,400,000"
0,copyallurls,"1,290,000"
0,copy-shorturl,"330,000"
0,copa_do_mundo,"446,000"
0,coordinate.js,"12,600,000"
0,coolcasc,"87,700"
0,cool.io,"36,400,000"
0,cooking_recipes,"91,200,000"
0,cookiexs,"41,200,000"
0,cookies_node.js,"12,000,000"
0,cookiejar,"14,000,000"
0,cookie.js,"2,040,000"
0,cookie-node,"27,800,000"
0,cookbooks,"6,540,000"
0,cookbook,"18,900,000"
0,conwitter,"63,200,000"
0,conwid,"18,400"
0,conwaycli,"57,900"
0,conway-js,"1,480,000"
0,convolute,"171,000"
0,convex_hull,"49,200"
0,convert_encoding.py,"53,500,000"
0,conv,"11,100,000"
0,contracts,"24,900,000"
0,contractango2,20
0,contour-detection,"1,640,000"
0,contour,"14,500,000"
0,continuous_scroller_js,"51,900,000"
0,continuous4r,"24,000,000"
0,contextualSearch,"6,510,000"
0,contextual,"6,930,000"
0,contextlive,"723,000"
0,context-trainer,"547,000"
0,context-common,"1,620,000"
0,context-collector,"540,000"
0,context-classifier,"32,100,000"
