,projectName,searchResults
0,maven-cuke4duke-jump-start,"97,900"
0,maven-com4j-plugin,"8,210,000"
0,maven-cli-plugin,"21,300,000"
0,maven-android-plugin,"43,300,000"
0,maven-2,"2,670,000"
0,maven,"15,900,000"
0,maulib,"16,500,000"
0,maudir,"177,000"
0,matzruby,"149,000"
0,mattgillooly.github.com,"5,230"
0,mattagg,"7,030,000"
0,matrixview,"5,220"
0,matrixConvert,"30,700,000"
0,matrix-scope,"28,600,000"
0,matrix-js,"25,800,000"
0,matrix-jquery-tools,"48,900,000"
0,matricula,"18,400,000"
0,matplotlib_backend_fr,"5,910,000"
0,matplotlib-ancient,"378,000"
0,matplotlib,"8,310,000"
0,matlab-images,"1,070,000"
0,matlab-big,"12,100,000"
0,mathtoy,"486,000"
0,matholroyd,"99,600"
0,mathnet-numerics,"37,300"
0,mathnet-iridium,"2,610"
0,mathmap,"9,570"
0,mathlib,"63,300"
0,math636-soc-project,"204,000"
0,math--gsl,"149,000"
0,mateme,"33,600,000"
0,matchr,"16,000"
0,matchHeights,"19,500,000"
0,match.js,"25,400,000"
0,match,"64,100,000"
0,mastermind,"5,860,000"
0,masteringnode,"795,000"
0,master_in_softwareengineering,"22,500,000"
0,massunfollow,"2,960,000"
0,masslogprocess,"342,000"
0,mass-spec,"14,900,000"
0,masquerade,"6,280,000"
0,mashpress,"24,700,000"
0,martsearch-v1,"6,020"
0,martinelli,"2,750,000"
0,marss.dramsim,62
0,marss,"399,000"
0,marshmallow,"9,070,000"
0,mars_site,"10,800,000"
0,mars,"32,600,000"
0,marry-fuck-kill,"1,110,000"
0,marquee-pong,"89,700"
0,marquee,"9,410,000"
0,maroon,"15,100,000"
0,marley,"13,600,000"
0,markupsafe,"91,700"
0,markup,"15,200,000"
0,markovmusic,"330,000"
0,markov_press,"912,000"
0,markov_pcs,"223,000"
0,markov-formusic,"331,000"
0,markov-chains,"180,000"
0,markov,"3,630,000"
0,markout,"57,700"
0,markitup1,"17,000"
0,markholton-old,"80,500"
0,markforster.net-improvement-userscript,"6,060"
0,marketing,"53,300,000"
0,marketdash,"34,900,000"
0,market-map,"183,000,000"
0,market,"411,000,000"
0,markdownr.com,"9,010,000"
0,markdownj,"3,670"
0,markdownie,"265,000"
0,markdown2man,"1,900,000"
0,markdown.tmbundle,"3,910"
0,markdown-urlize,"5,300"
0,markdown-js,"879,000"
0,markdown,"14,500,000"
0,markdoc,"8,550"
0,mark_it_up,"184,000,000"
0,marines,"14,000,000"
0,maried,"28,000,000"
0,mariana.github.com,"259,000"
0,marginalia,"263,000"
0,marcusortiz.com,"723,000"
0,marcoshack.github.io,"6,840,000"
0,marc2db,"36,900"
0,maratona,"2,600,000"
0,marathon,"24,600,000"
0,mapvalue,"128,000,000"
0,mapsoft,"11,100"
0,maps,"211,000,000"
0,mappy,"8,210,000"
0,mappr,"35,300"
0,mapper,"12,300,000"
0,mappedfile,"209,000,000"
0,mapnik-utils,"15,500"
0,mapnik-stylesheets,"12,400"
0,maple-bootloader,"48,400"
0,mapkibera,"226,000"
0,mapkey,"210,000,000"
0,mapit,"262,000"
0,maphilight,"6,600"
0,mapfre-bot,"32,100"
0,map646,"5,550,000"
0,map256,"215,000"
0,manymanythreads,"3,870,000"
0,manuscript,"26,400,000"
0,manual_httpd,"1,760,000"
0,manual-tester,"175,000,000"
0,mantisbt,"220,000"
0,mantid,"164,000"
