,projectName,searchResults
0,pardus-network-manager-gtk,"58,800"
0,pardus-disk-manager-gtk,"35,600"
0,pardus-boot-manager-gtk,"150,000"
0,parcycle,"2,190"
0,parchment-proxy,"35,100"
0,parchment,"8,280,000"
0,parched,"1,230,000"
0,parboiled,"456,000"
0,parbat-reloaded,"4,360"
0,paranamer,"11,400"
0,paramiko,"475,000"
0,parallel-quadrature-demo,"6,970,000"
0,parallel-pthread,"5,630,000"
0,parallel-dijkstra,"232,000"
0,parallel,"24,500,000"
0,paragrep,"24,300,000"
0,paradisegl,"30,500,000"
0,par2cmdline-oldimport,984
0,par,"73,900,000"
0,papyon,"53,000"
0,pappy,"2,860,000"
0,papoose-test-bundles,"38,800,000"
0,papoose-log,"292,000"
0,papoose-http,"109,000"
0,papoose-event,"91,100"
0,papoose-core,"28,000"
0,papoose-config,"27,100"
0,papoose-bootstrap,"2,180"
0,papi-provider-queue,"40,600,000"
0,papertimer,"35,000,000"
0,paperplanes,"19,300,000"
0,paperclip-storage-engine,"446,000"
0,papageno,"269,000"
0,paopaoyu,"2,690"
0,paodate,"2,610,000"
0,panya-social,"67,400"
0,panya-music,"67,700"
0,panya-contact,"249,000"
0,panya-calendar,"43,300"
0,pantry-sdd,"1,980,000"
0,pantless,"125,000"
0,panthertv,"21,700,000"
0,pant,"16,000,000"
0,panmx,"849,000"
0,panelix,"32,000"
0,pandoc,"1,540,000"
0,pandion-drupal-theme,"2,600,000"
0,panda_uploader,"8,330,000"
0,panda3d-CSM,"6,980"
0,panda-gallery,"30,200,000"
0,panda,"28,600,000"
0,pam_shield,"4,250,000"
0,pam_externalpass,"1,050,000"
0,pam-mkhomedir,"13,300"
0,paludis-alip,94
0,pallet_viewer,"14,300,000"
0,palfrey-projects,"148,000"
0,palewi.re,"2,110"
0,paleoserver,"209,000"
0,pal,"31,300,000"
0,pajekpart,"19,300"
0,pairwise2,"13,300"
0,pairwise-api,"2,970,000"
0,pairtimer,"314,000,000"
0,pair-o-nodes,"1,790,000"
0,paintr,"33,500,000"
0,pain-point,"13,700,000"
0,pagingish,"19,300"
0,pagestatus,"239,000,000"
0,pageslurp,"755,000"
0,pages,"692,000,000"
0,pagering,"7,380,000"
0,pageranktoolstrip,"14,100"
0,pager,"11,300,000"
0,pagekit,"51,000"
0,pagefuser,"803,000"
0,pagebypage,"1,420,000,000"
0,page_prototypes,"17,000,000"
0,page-slide,"33,200,000"
0,padrino-framework,"56,600"
0,padlua,"5,560,000"
0,pad,"33,200,000"
0,pact,"10,400,000"
0,pacman,"12,400,000"
0,packrat,"231,000"
0,packr,"30,800"
0,packetvector,"3,490,000"
0,packetspy,"11,700,000"
0,packetpusher,"8,990"
0,packages_apps_settings,"708,000"
0,package.js,"76,600,000"
0,pachume,"130,000"
0,pachube_controller,"14,700"
0,pacbuild,"52,800,000"
0,pacatatime,13
0,pa2,"1,740,000"
0,pa-explore,"587,000"
0,pSSLDA,"7,600"
0,p70,"1,740,000"
0,p5sunflow,480
0,p5-net-ip-match-trie,"1,710,000"
0,p5-libnfc,623
0,p5-js-graph,"634,000"
0,p5-http-parser-xs,"772,000"
0,p5-Text-Xslate,"3,470,000"
0,p5-Sort-Packed,"26,500,000"
0,p5-Sort-Key-Top,"34,800,000"
0,p5-Sort-Key-Radix,"620,000"
0,p5-Sort-Key-OID,"688,000"
0,p5-Sort-Key-LargeInt,"392,000"
0,p5-Sort-Key-IPv4,"749,000"
0,p5-Sort-Key,"41,000,000"
0,p5-SQLite-VirtualTable,"21,500"
0,p5-Math-Packed,"18,000"
0,p5-Hash-FieldHash,"367,000"
0,p4a.videoembed,"19,200"
0,p3wrapr,22
0,p3,"22,100,000"
0,p2pvpnmgr,23
0,p2pchan,"102,000"
0,p2bot,688
0,p2-php,"7,560,000"
0,p1ng,"15,500"
0,p1cdoset1,15
0,p0f,"88,500"
0,p,"335,032,704"
0,oz,"69,200,000"
0,oyoyo,"77,600"
0,oxybeles,"4,200"
0,oxstatsd,"2,560,000"
0,oxfilter,"6,370,000"
0,oxenterails.com,"797,000"
0,oxdnsupdate,"211,000"
0,oxalis,"797,000"
0,owslave,"3,180"
0,owgs,"496,000"
0,ovrc,"330,000"
0,ovirtex,"19,100,000"
0,overview-maven-plugin,"894,000"
0,overscroll,"362,000"
0,overo-myspy,"4,130"
0,overo-mcp23017,48
0,overo-irqlat,45
0,overo-char-dev-template,"27,800,000"
0,overo-blinkm,"2,710"
0,overo-adc-mcp3002,"11,400"
0,overload-eval,"9,250,000"
0,overload,"10,100,000"
0,overlay,"19,100,000"
0,overlapr-bookmarklet,"49,400"
0,overbrain,"16,900,000"
0,overalls,"7,500,000"
0,outspokes-cs169,56
0,oupsnow,"265,000"
0,oui,"13,200,000"
0,otx-bblm,"14,400"
0,ottawaruby,"1,090,000"
0,otp,"19,300,000"
0,otb,"5,160,000"
0,ota-accor-tester,"10,300,000"
0,osxloader,"412,000"
0,osx2x,"3,960"
0,osx-space-id,"97,500,000"
0,osx-plist,"910,000"
0,osx-firewall,"2,180,000"
0,oswm,"8,940,000"
0,osw-web,"25,400,000"
0,osw-openfire-plugin,"59,900"
0,osw-model,"538,000"
0,osw-lib-java,"48,400,000"
0,osw-lib-gwt,"1,260,000"
0,osw-js,"390,000"
0,osw-console,"54,500"
0,osw-android,"20,400,000"
0,osubus,"68,700"
0,osscmix,"65,300"
0,oss_analyzer,"21,000,000"
0,oss-8steps-app,"1,850,000"
0,osqa,"470,000"
0,osp_mem,"207,000"
0,osmoprop,"8,770"
0,osmgeocode,"221,000"
0,osm4routing,384
0,osm2pov,303
0,osm2pgsql,"22,600"
0,osm-gps-map,"1,710,000"
0,osm-api,"2,880,000"
0,osiris,"5,640,000"
0,oshyreman,43
0,oshpdapp,"61,700"
0,osgi-kasse-example,"412,000"
0,osgdbmd3,16
0,osg,"5,530,000"
0,oserver,"22,000,000"
0,oseblogo,"2,570,000"
0,osdwidget,"75,500"
0,osd-presentation,"1,240,000"
0,oscurrency,"19,000,000"
0,oscar,"25,900,000"
0,osc_sequencer,"221,000"
0,osbridge10,"8,250"
0,osbp_mediawiki_skin,"793,000"
0,os_sleuth,"2,120,000"
0,os_id2206_lab3,"29,800"
0,osShell,"32,000,000"
0,os4,"998,000"
0,os,"372,000,000"
0,oryx-editor,"338,000"
0,orvet,"32,500"
0,oruby,"26,500,000"
0,orsotheysay,"51,100"
0,orphanage-site,"7,530,000"
0,orothron,"432,000"
0,orocos-rtt-qnx,"15,200"
0,orocos-rtt,"8,980"
0,orocos-ocl,"4,120"
0,orocos-log4cpp,"2,070"
0,ormtests,"8,400,000"
0,orm,"10,300,000"
0,orgpub,"8,020"
0,org.typo3.eclipse.extender,"211,000"
0,org.petah.common,"80,000,000"
0,org.openscience.cdk,"4,650"
0,org.inmemprofiler,"5,180"
0,org.eclipselabs.p2.rcpupdate,"30,100"
0,org.eclipse.rap.ui.views.properties.tabbed,"32,300,000"
0,org.SnortInOSGi,"149,000"
0,org-s5,"8,630,000"
0,org-reqall,"235,000,000"
0,org-mode-lists,"204,000"
0,org-mode,"1,740,000"
0,org-json,"31,600,000"
0,org-info-js,"33,000,000"
0,oreore-LSM,"29,200"
0,oreilly-ejb-6thedition-book-examples,"139,000"
0,oregano,"4,530,000"
0,ordered_json,"31,600,000"
0,ordered-collections,"122,000,000"
0,order_entries,"26,200,000"
0,ordavinda,66
0,orch,"18,900,000"
0,orcacam_test,"915,000"
0,orbited2,927
0,orb,"15,700,000"
0,orario,"12,000,000"
0,orarender,"758,000"
0,orapp,"9,450"
0,orangeblog,"6,700,000"
0,orange-core,"1,190,000"
0,oracle_hr_visualization,"50,900,000"
0,or1ksim_reentrant,69
0,oq-engine,"586,000"
0,opwgen,"84,700"
0,opts,"6,200,000"
0,optiontransferselect,"3,560"
0,optionpricing,"180,000,000"
0,option.js,"174,000,000"
0,option-tree,"18,900,000"
0,optimizer,"10,100,000"
0,optimize,"13,400,000"
0,optimaes,"6,700"
0,opticks-extras-Spectral,"840,000"
0,opticks-extras-Python,"24,700,000"
0,opticks-extras-IDL,"294,000"
0,optfunc,"4,880"
0,optfir,"1,790"
0,opterator,"27,800,000"
0,ops,"26,100,000"
0,oppian-build-server,"56,700,000"
0,opp-frontpage,"1,550,000"
0,opmbuild,"31,200,000"
0,oplogutils,"5,500"
0,ophelia,"4,060,000"
0,operator-overloading-c---lab,"26,400,000"
0,operaini,"3,240,000"
0,openzoom-sdk,"8,050,000"
0,openx_lasttest,"216,000,000"
0,openwrap,"17,800"
0,openvz,"251,000"
0,openvpn-mysql-auth,"42,800,000"
0,openvpn-ldap-auth,"360,000"
0,openvanilla-oranje,21
0,opentumblr-cocoa,"2,010,000"
0,opentumblr,"3,410,000"
0,openttd,"180,000"
0,opentox-toxmodel,"18,400"
0,opentip,"40,000"
0,opensuse-obs-client-android,"9,620,000"
0,openstreetmap-website,"4,120,000"
0,openstreetmap-watch-list,"102,000,000"
0,openstreetmap-cgimap,"13,900"
0,openstates-scrapers,"10,600"
0,openssl-nonblock,"22,700"
0,opensprints,"58,100"
0,openspotify,"47,500,000"
0,opensourcedebugging,"10,800,000"
0,opensocialdelicious,"46,200"
0,opensocial-api,"240,000"
0,opensoaring,"2,040"
0,opensim,"174,000"
0,openser-xmlrpc,"3,170"
0,opensearch,"1,220,000"
0,openriver,"158,000,000"
0,openrc,"127,000"
0,openrasta-stable,"14,100"
0,openradar,"16,500"
0,openproposals,"38,700,000"
0,openproblems,"228,000,000"
0,openorbit,"12,300,000"
0,openobex,"6,120"
0,openoai,"2,220,000"
0,opennote,"6,540"
0,openmw,"95,900"
0,openmrs-test,"46,000"
0,openmrs-infopath,957
0,openmrs,"70,100"
0,openmind-commons,"2,850,000"
0,openmicroblogger,"7,550"
0,openmerch,"334,000,000"
0,openmelee,"3,350,000"
0,openlike,"265,000,000"
0,openlife,"248,000,000"
0,openlibrary,"13,700,000"
0,openleu,"861,000"
0,openlayers,"1,160,000"
0,openlaunchd,"24,100,000"
0,openid-server,"1,980,000"
0,openiBoot,"4,450"
0,openhuman,"155,000,000"
0,openhsp,"5,690"
0,opengrt_data,"3,600,000"
0,opengraph.net,"78,500"
0,opengraph.in,"253,000"
0,opengovdialogue-analysis,"779,000"
0,opengles2-template,"12,000"
0,openflipbook,"2,000,000"
0,openfilesystem,"1,970,000"
0,openengsb,"2,990"
0,openemr,"62,400"
0,openelections,"14,300,000"
0,opencxx,"779,000"
0,opencv_samples,"114,000,000"
0,opencv_old_libdc1394,"1,280,000"
0,opencv-wrappers,"404,000"
0,opencv-samples,"120,000,000"
0,opencv-face-track-basics,"42,300,000"
0,opencpi,"5,010"
0,opencore_zinefarm,30
0,openconnect,"222,000"
0,openconferenceware-android,"2,860"
0,openconferenceware,"4,130"
0,openclscan,"2,030,000"
0,opencflite,"1,070"
0,opencc,"177,000"
0,opencalais,"53,100"
0,openc2e,"2,160"
0,openbve-routeviewer,"21,200"
0,openbve,"284,000"
0,openbsd-xen-sys,"1,910,000"
0,openbsd-build-tools,"59,900,000"
0,openbrain,"9,440"
0,openbox,"1,100,000"
0,openblock-old,"20,500,000"
0,openbgpd-linux-port,"38,300,000"
0,openbgpd,"31,900"
0,openbabel,"4,350,000"
0,openauto,"18,100"
0,openaustraliasearchdroid,"647,000"
0,openart,"31,000"
0,openapi-framework,"615,000"
0,openanno,"3,260"
0,open_robot,"49,100,000"
0,open_flash_chart_2_plugin,"77,500,000"
0,open_flash_chart_2,"213,000,000"
0,openTSPS,"19,300"
0,openLMIS,"5,740"
0,openFrameworks,"144,000"
0,open7x0.org,"240,000"
0,open311-api,"8,980"
0,open-translation,"22,600,000"
0,open-source-watershed,"102,000"
0,open-flash-chart,"409,000"
0,open-experiments,"30,700,000"
0,open-bldc-mk,"30,900,000"
0,open-bldc,"509,000"
0,opc-thread-test,"36,900,000"
0,opal,"13,700,000"
0,opakapaka,"19,200"
0,opOpenSocialPlugin,"23,000,000"
0,opKakiagePlugin,25
0,oozie-web-ui,"74,100"
0,oozie,"271,000"
0,ooppy,"14,900,000"
0,oopjava,"10,100,000"
0,oop_box,"110,000"
0,ooop,"528,000"
0,oodles,"1,600,000"
0,ooc-lang.org,"132,000"
0,onzeer,698
0,onyx,"12,900,000"
0,ontopy,"8,090,000"
0,onto-rdf-system,"44,300,000"
0,ontheissues,"68,600"
0,onslaught_arena,"603,000"
0,onscripter-wii,"3,500"
0,ons_graphs,"15,200,000"
0,onready,"159,000"
0,onlyreplace,"135,000,000"
0,onionplus,"15,600,000"
0,oniguruma,"39,300"
0,onewire,"213,000"
0,oneversion,"237,000,000"
0,onepagewiki,"153,000,000"
0,onemangadl,22
0,onelinr,"3,510,065,408"
0,onebuttonmod,"1,140,000"
0,onebody,"40,800"
0,oneaccount2qif,16
